,时间,GPS车速,X轴加速度,Y轴加速度,Z轴加速度,经度,纬度,发动机转速,扭矩百分比,瞬时油耗,油门踏板开度,空燃比,发动机负荷百分比,进气流量
423984,2017-11-06 16:58:16,0.0,0.0,-0.414,-0.936,119.32183,26.083639,1700.0,32.0,0.88,0.105,0.1457,38.0,9.09
423985,2017-11-06 16:58:17,6.5,0.0,-0.414,-0.9,119.32184,26.083633,1475.0,32.0,0.73,0.095,0.1463,38.0,7.52
423986,2017-11-06 16:58:18,13.0,0.0,-0.432,-0.918,119.32183,26.083678,1387.0,17.0,0.31,0.035,0.1467,25.0,3.25
423987,2017-11-06 16:58:19,16.8,0.0,-0.414,-0.864,119.321826,26.083733,1312.0,17.0,0.42,0.07,0.1467,18.0,4.35
423988,2017-11-06 16:58:20,22.7,-0.054,-0.45,-0.864,119.321788,26.083848,1462.0,26.0,0.62,0.065,0.1461,33.0,6.34
423989,2017-11-06 16:58:21,22.7,0.0,-0.468,-0.828,119.321785,26.083915,1387.0,14.0,0.31,0.005,0.1455,19.0,3.24
423990,2017-11-06 16:58:22,21.58,-0.0252,-0.468,-0.8351999999999999,119.32176360000001,26.0839752,1384.6,17.0,0.368,,,,
423991,2017-11-06 16:58:23,20.46,-0.0504,-0.468,-0.8423999999999999,119.3217422,26.0840354,1382.2,20.0,0.426,,,,
423992,2017-11-06 16:58:24,19.34,-0.0756,-0.468,-0.8496,119.32172080000001,26.0840956,1379.8,23.0,0.484,,,,
423993,2017-11-06 16:58:25,18.22,-0.1008,-0.468,-0.8568,119.3216994,26.0841558,1377.4,26.0,0.542,,,,
423994,2017-11-06 16:58:26,17.1,-0.126,-0.468,-0.864,119.321678,26.084216,1375.0,29.0,0.6,0.085,0.1451,34.0,6.31
423995,2017-11-06 16:58:27,17.6,-0.126,-0.432,-0.882,119.321644,26.084241,1450.0,29.0,0.67,0.09,0.1458,35.0,6.99
423996,2017-11-06 16:58:28,19.0,0.0,-0.432,-0.9,119.321603,26.084258,1587.0,33.0,0.82,0.11,0.1461,40.0,8.49
423997,2017-11-06 16:58:29,21.4,-0.054,-0.45,-0.936,119.321549,26.084278,1500.0,40.0,0.95,0.13,0.1475,45.0,9.75
423998,2017-11-06 16:58:30,23.0,0.0,-0.396,-0.864,119.321491,26.08429,1712.0,46.0,1.24,0.14,0.1471,55.0,12.67
423999,2017-11-06 16:58:31,25.2,0.0,-0.378,-0.846,119.321406,26.084296,1725.0,47.0,1.26,0.14,0.1467,55.0,12.93
424000,2017-11-06 16:58:32,27.8,0.0,-0.432,-0.954,119.321316,26.0843,1737.0,45.0,1.24,0.135,0.1465,53.0,12.7
424001,2017-11-06 16:58:33,32.7,0.0,-0.396,-0.882,119.321211,26.084298,1737.0,43.0,1.18,0.13,0.1464,50.0,12.1
424002,2017-11-06 16:58:34,33.5,0.0,-0.45,-0.828,119.32111,26.084301,1375.0,14.0,0.29,0.01,0.1463,17.0,3.14
424003,2017-11-06 16:58:35,34.7,0.0,-0.486,-0.828,119.321005,26.084298,1337.0,17.0,0.42,0.06,0.1472,18.0,4.37
424004,2017-11-06 16:58:36,35.2,0.0,-0.468,-0.864,119.3209,26.084294,1437.0,21.0,0.49,0.07,0.1474,25.0,5.1
424005,2017-11-06 16:58:37,35.8,0.0,-0.468,-0.882,119.320791,26.084288,1437.0,19.0,0.44,0.065,0.1473,23.0,4.63
424006,2017-11-06 16:58:38,37.2,0.0,-0.45,-0.81,119.32067,26.084285,1475.0,17.0,0.31,0.0,0.147,25.0,3.18
424007,2017-11-06 16:58:39,37.2,0.0,-0.468,-0.828,119.320563,26.084273,1337.0,13.0,0.29,0.0,0.1469,16.0,3.0
424008,2017-11-06 16:58:40,36.22857142857143,0.0,-0.46542857142857147,-0.8331428571428571,119.32047628571429,26.084269142857142,1351.2857142857142,16.714285714285715,0.38,,,,
424009,2017-11-06 16:58:41,35.25714285714286,0.0,-0.46285714285714286,-0.8382857142857143,119.32038957142858,26.084265285714284,1365.5714285714287,20.42857142857143,0.47,,,,
424010,2017-11-06 16:58:42,34.285714285714285,0.0,-0.4602857142857143,-0.8434285714285714,119.32030285714286,26.084261428571427,1379.857142857143,24.142857142857142,0.56,,,,
424011,2017-11-06 16:58:43,33.31428571428572,0.0,-0.45771428571428574,-0.8485714285714285,119.32021614285715,26.084257571428573,1394.142857142857,27.857142857142858,0.65,,,,
424012,2017-11-06 16:58:44,32.34285714285714,0.0,-0.4551428571428572,-0.8537142857142856,119.32012942857143,26.084253714285715,1408.4285714285713,31.571428571428573,0.74,,,,
424013,2017-11-06 16:58:45,31.37142857142857,0.0,-0.45257142857142857,-0.8588571428571429,119.32004271428572,26.084249857142858,1422.7142857142858,35.285714285714285,0.8300000000000001,,,,
424014,2017-11-06 16:58:46,30.4,0.0,-0.45,-0.864,119.319956,26.084246,1437.0,39.0,0.92,0.12,0.1465,44.0,9.37
424015,2017-11-06 16:58:47,31.7,-0.054,-0.396,-0.828,119.319866,26.084248,1587.0,36.0,0.9,0.115,0.1469,44.0,9.2
424016,2017-11-06 16:58:48,34.5,0.0,-0.414,-0.864,119.319765,26.084246,1600.0,37.0,0.92,0.115,0.1467,44.0,9.4
424017,2017-11-06 16:58:49,34.6,0.0,-0.441,-0.882,119.319665,26.084241,1525.0,31.5,0.77,,,,
424018,2017-11-06 16:58:50,34.7,0.0,-0.468,-0.9,119.319565,26.084236,1450.0,26.0,0.62,0.1,0.1466,29.0,6.48
424019,2017-11-06 16:58:51,35.7,0.0,-0.414,-0.846,119.319461,26.084233,1700.0,39.0,1.03,0.125,0.146,46.0,10.63
424020,2017-11-06 16:58:52,37.9,0.0,-0.414,-0.9,119.31935,26.084228,1725.0,39.0,1.05,0.125,0.1465,46.0,10.73
424021,2017-11-06 16:58:53,38.6,0.0,-0.414,-0.882,119.31924,26.084226,1737.0,39.0,1.06,0.125,0.1468,47.0,10.85
424022,2017-11-06 16:58:54,39.5,0.0,-0.468,-0.846,119.31913,26.084223,1525.0,14.0,0.31,0.02,0.1471,19.0,3.23
424023,2017-11-06 16:58:55,40.2,0.0,-0.45,-0.864,119.319016,26.084215,1512.0,39.0,0.93,0.12,0.1468,45.0,9.6
424024,2017-11-06 16:58:56,42.1,0.0,-0.378,-0.81,119.318903,26.084206,1537.0,37.0,0.9,0.115,0.1471,44.0,9.21
424025,2017-11-06 16:58:57,42.3,0.0,-0.42300000000000004,-0.837,119.318786,26.084201,1381.0,27.5,0.605,,,,
424026,2017-11-06 16:58:58,42.5,0.0,-0.468,-0.864,119.318669,26.084196,1225.0,18.0,0.31,0.045,0.1472,24.0,3.31
