,时间,GPS车速,X轴加速度,Y轴加速度,Z轴加速度,经度,纬度,发动机转速,扭矩百分比,瞬时油耗,油门踏板开度,空燃比,发动机负荷百分比,进气流量
350971,2017-12-22 15:11:46,0.0,0.0,-0.288,-0.936,119.504391,25.95808,1362.0,29.0,0.57,0.01,0.1458,39.0,5.96
350972,2017-12-22 15:11:47,4.7,0.0,-0.378,-0.882,119.504378,25.958078,1162.0,20.0,0.49,0.085,0.1472,19.0,5.11
350973,2017-12-22 15:11:48,11.5,0.0,-0.342,-0.936,119.504353,25.95808,1400.0,25.0,0.57,0.085,0.1469,31.0,5.87
350974,2017-12-22 15:11:49,13.7,0.0,-0.378,-0.936,119.504306,25.95808,1525.0,24.0,0.57,0.095,0.1467,28.0,5.96
350975,2017-12-22 15:11:50,14.4,0.0,-0.324,-0.864,119.504258,25.958081,1275.0,32.0,0.65,0.09,0.1463,37.0,6.73
350976,2017-12-22 15:11:51,16.4,0.0,-0.342,-0.9,119.50421,25.95808,1350.0,31.0,0.64,0.09,0.1468,38.0,6.61
350977,2017-12-22 15:11:52,17.7,0.0,-0.36,-0.9,119.504159,25.958078,1100.0,21.0,0.5,0.09,0.147,21.0,5.2
350978,2017-12-22 15:11:53,19.6,0.0,-0.324,-0.918,119.504103,25.958078,1450.0,33.0,0.72,0.105,0.1467,40.0,7.49
350979,2017-12-22 15:11:54,21.1,0.0,-0.324,-0.936,119.504041,25.958075,1537.0,35.0,0.82,0.11,0.1467,42.0,8.38
350980,2017-12-22 15:11:55,23.2,0.0,-0.342,-0.9,119.503978,25.958075,1575.0,34.0,0.8,0.11,0.1465,41.0,8.31
350981,2017-12-22 15:11:56,24.8,0.054,-0.378,-0.9,119.503908,25.958076,1450.0,14.0,0.29,0.0,0.1457,20.0,3.12
350982,2017-12-22 15:11:57,25.5,0.0,-0.36,-0.918,119.503836,25.958073,1350.0,36.0,0.82,0.11,0.145,41.0,8.37
350983,2017-12-22 15:11:58,26.5,0.0,-0.342,-0.918,119.503763,25.958071,1487.0,39.0,0.92,0.12,0.1456,45.0,9.38
350984,2017-12-22 15:11:59,27.2,0.054,-0.36,-0.864,119.503686,25.95807,1525.0,37.0,0.87,0.105,0.1459,45.0,8.89
350985,2017-12-22 15:12:00,28.8,0.054,-0.36,-0.864,119.503606,25.95807,1225.0,33.0,0.72,0.105,0.1463,36.0,7.41
350986,2017-12-22 15:12:01,30.0,0.0,-0.324,-0.936,119.503525,25.958071,1487.0,35.0,0.8,0.11,0.146,42.0,8.27
350987,2017-12-22 15:12:02,31.7,0.0,-0.36,-0.9,119.503438,25.958075,1512.0,35.0,0.82,0.11,0.1459,42.0,8.48
350988,2017-12-22 15:12:03,33.0,0.0,-0.378,-0.9,119.503348,25.958075,1537.0,35.0,0.83,0.11,0.146,42.0,8.52
350989,2017-12-22 15:12:04,33.4,0.0,-0.396,-0.9,119.503255,25.958071,1275.0,18.0,0.46,0.105,0.1466,18.0,4.67
350990,2017-12-22 15:12:05,34.4,0.0,-0.378,-0.846,119.50316,25.958066,1587.0,36.0,0.85,0.115,0.1465,43.0,8.77
350991,2017-12-22 15:12:06,35.4,0.0,-0.396,-0.918,119.503061,25.958066,1600.0,35.0,0.87,0.115,0.1463,42.0,8.96
350992,2017-12-22 15:12:07,35.8,0.0,-0.342,-0.936,119.502961,25.958065,1612.0,35.0,0.9,0.115,0.1462,42.0,9.18
350993,2017-12-22 15:12:08,37.2,0.0,-0.36,-0.954,119.50286,25.958061,1637.0,35.0,0.9,0.115,0.1461,41.0,9.3
350994,2017-12-22 15:12:09,38.1,0.0,-0.414,-0.882,119.502753,25.958058,1425.0,14.0,0.29,0.09,0.1463,18.0,3.0
350995,2017-12-22 15:12:10,38.5,0.0,-0.36,-0.882,119.502646,25.958054,1625.0,33.0,0.83,0.11,0.1464,40.0,8.63
350996,2017-12-22 15:12:11,39.5,0.0,-0.36,-0.9,119.502536,25.958053,1462.0,36.0,0.82,0.11,0.1464,43.0,8.37
350997,2017-12-22 15:12:12,39.6,0.0,-0.378,-0.864,119.502426,25.958051,1112.0,17.0,0.26,0.015,0.1467,21.0,2.83
